Column1,Column2,Column3,Column4
,4696000,4366.427,
,7044000,4367.314,
,9392000,4361.987,
,11740000,4351.664,
,14090000,4337.482,
,16440000,4320.441,
,18780000,4301.397,
,21130000,4281.068,
,23480000,4260.047,
,25830000,4238.811,
,28180000,4217.725,
,30520000,4197.05,
,32870000,4176.944,
,35220000,4157.482,
,37570000,4138.669,
,42260000,4102.78,
,46960000,4068.656,
,51650000,4035.61,
,56350000,4003.077,
,61050000,3970.657,
,65740000,3938.104,
,70440000,3905.307,
,75130000,3872.274,
,79830000,3839.125,
,84530000,3806.074,
,89220000,3773.416,
,93920000,3741.489,
,103300000,3681.131,
,112700000,3626.813,
,122100000,3578.63,
,131500000,3535.509,
,140900000,3496.226,
,164400000,3409.431,
,187800000,3333.633,
,211300000,3265.638,
,234800000,3203.823,
,258300000,3147.156,
,281800000,3094.894,
,305200000,3046.458,
,328700000,3001.378,
,352200000,2959.258,
,375700000,2919.755,
,422600000,2847.425,
,469600000,2782.313,
,704400000,2542.999,
,939200000,2380.825,
60,2s0,->,5f-1
,10,4340.47,
,4696000,4373.494,
,7044000,4382.706,
,9392000,4388.198,
,11740000,4390.609,
,14090000,4390.532,
,18780000,4384.849,
,23480000,4374.113,
,28180000,4360.057,
,30520000,4352.081,
,32870000,4343.553,
,35220000,4334.497,
,37570000,4324.912,
,39920000,4314.776,
,42260000,4304.05,
,46960000,4280.586,
,51650000,4253.918,
,56350000,4223.397,
,61050000,4188.647,
,65740000,4149.958,
,70440000,4108.455,
,75130000,4065.879,
,79830000,4024.171,
,84530000,3985.104,
,89220000,3949.982,
,93920000,3919.416,
,98610000,3893.292,
,103300000,3871.015,
,108000000,3851.835,
,112700000,3835.069,
,117400000,3820.182,
,122100000,3806.778,
,126800000,3794.569,
,131500000,3783.349,
,136200000,3772.965,
,140900000,3763.303,
,150300000,3745.808,
,159700000,3730.354,
,169100000,3716.593,
,178400000,3704.265,
,187800000,3693.163,
,197200000,3683.107,
,206600000,3673.937,
,216000000,3665.5,
,225400000,3657.646,
,234800000,3650.223,
,244200000,3643.07,
,253600000,3636.017,
,263000000,3628.879,
,272400000,3621.461,
,281800000,3613.559,
,295800000,3600.379,
,328700000,3562.22,
,352200000,3533.077,
,375700000,3510.756,
,399200000,3497.982,
,422600000,3492.251,
,469600000,3491.304,
,704400000,3511.397,
,939200000,3498.063,
41,2p-1,->,5g-2
,10,4340.47,
,4696000,4374.197,
,7044000,4384.054,
,9392000,4390.088,
,11740000,4392.702,
,14090000,4392.296,
,16440000,4389.235,
,18780000,4383.842,
,21130000,4376.397,
,23480000,4367.141,
,28180000,4343.998,
,32870000,4315.739,
,37570000,4283.348,
,42260000,4247.564,
,46960000,4208.953,
,51650000,4167.957,
,56350000,4124.936,
,61050000,4080.196,
,65740000,4034.011,
,70440000,3986.64,
,75130000,3938.331,
,79830000,3889.332,
,84530000,3839.885,
,89220000,3790.226,
,93920000,3740.583,
,103300000,3642.188,
,112700000,3546.246,
,122100000,3454.081,
,131500000,3366.845,
,140900000,3285.538,
,164400000,3111.964,
,187800000,2976.302,
,211300000,2864.898,
,234800000,2768.615,
,281800000,2605.9,
,328700000,2471.159,
,375700000,2356.644,
,422600000,2257.605,
,469600000,2170.778,
,704400000,1855.579,
,939200000,1652.492,
47,2p0,->,5g-1
,10,4340.47,
,4696000,4376.307,
,7044000,4388.667,
,9392000,4397.98,
,11740000,4404.491,
,14090000,4408.451,
,16440000,4410.103,
,18780000,4409.671,
,21130000,4407.354,
,23480000,4403.336,
,25830000,4397.779,
,28180000,4390.83,
,30520000,4382.622,
,32870000,4373.28,
,35220000,4362.916,
,37570000,4351.638,
,42260000,4326.732,
,46960000,4299.303,
,51650000,4270.028,
,56350000,4239.519,
,61050000,4208.33,
,65740000,4176.945,
,70440000,4145.772,
,75130000,4115.132,
,79830000,4085.262,
,84530000,4056.316,
,89220000,4028.374,
,93920000,4001.461,
,103300000,3950.632,
,112700000,3903.444,
,122100000,3859.396,
,131500000,3818.02,
,140900000,3778.932,
,164400000,3689.393,
,187800000,3609.205,
,211300000,3536.47,
,234800000,3469.935,
,258300000,3408.695,
,281800000,3352.049,
,305200000,3299.434,
,328700000,3250.385,
,352200000,3204.51,
,375700000,3161.479,
,422600000,3082.837,
,469600000,3012.585,
,704400000,2747.775,
,939200000,2569.019,
81,2p-1,->,4s0
,10,4861.32,
,4696000,4798.954,
,7044000,4758.745,
,9392000,4713.765,
,11740000,4664.692,
,14090000,4612.22,
,16440000,4557.02,
,18780000,4499.718,
,21130000,4440.882,
,23480000,4381.021,
,25830000,4320.582,
,28180000,4259.963,
,30520000,4199.516,
,32870000,4139.561,
,37570000,4022.362,
,42260000,3911.468,
,46960000,3814.926,
,49310000,3776.709,
,51650000,3744.453,
,54000000,3715.571,
,56350000,3688.538,
,58700000,3662.663,
,61050000,3637.627,
,63390000,3613.266,
,65740000,3589.484,
,68090000,3566.223,
,70440000,3543.441,
,72790000,3521.108,
,75130000,3499.198,
,77480000,3477.693,
,79830000,3456.574,
,82180000,3435.825,
,84530000,3415.434,
,85000000,3411.397,
,85470000,3407.374,
,85930000,3403.364,
,86400000,3399.368,
,86870000,3395.386,
,87340000,3391.416,
,87810000,3387.46,
,88280000,3383.517,
,88750000,3379.587,
,89220000,3375.669,
,89690000,3371.765,
,90160000,3367.873,
,90630000,3363.994,
,91100000,3360.128,
,91570000,3356.273,
,92040000,3352.432,
,92510000,3348.602,
,92980000,3344.785,
,93450000,3340.98,
,93920000,3337.187,
,103300000,3263.738,
,112700000,3194.488,
,122100000,3128.912,
,131500000,3066.523,
,136200000,3036.38,
,140900000,3006.862,
,150300000,2949.482,
,152600000,2935.442,
,159700000,2893.953,
,164400000,2866.762,
,169100000,2839.903,
,176100000,2800.189,
